,species
4944,Levilactobacillus acidifarinae
4945,Schleiferilactobacillus perolens
4946,Levilactobacillus hammesii
4948,Acinetobacter dispersus
4952,Epilithonimonas hungarica
4957,Cytobacillus kochii
4966,Sphingobium wenxiniae
4967,Rhizobium mongolense
4968,Paracoccus sulfuroxidans
4969,Extensimonas vulgaris
4970,Kosakonia sacchari
4972,Sphingobium faniae
4974,Gemmobacter caeni
4976,Mesorhizobium qingshengii
4980,Bacteroides zoogleoformans
4981,Legionella micdadei
4985,Bradyrhizobium oligotrophicum
4991,Pasteurella canis
5002,Rothia koreensis
5005,Kitasatospora herbaricolor
5008,Glutamicibacter ardleyensis
5009,Flavimobilis rhizosphaerae
5015,Agrobacterium fabrum
5020,Citrobacter tructae
5021,Chryseobacterium carnipullorum
5022,Serratia bockelmannii
5023,Yersinia ruckeri
5024,Burkholderia stabilis
5026,Faecalibacillus intestinalis
5027,Anaerorhabdus furcosa
5029,Raoultella terrigena
5030,Capnocytophaga granulosa
5031,Serratia ficaria
5033,Burkholderia aenigmatica
5034,Burkholderia dolosa
5035,Latilactobacillus curvatus
5037,Entomomonas moraniae
5038,Microbacterium marinum
5039,Nonomuraea rubra
5041,Kribbella italica
5045,Parabacteroides faecis
5046,Oliverpabstia intestinalis
5052,Lachnoanaerobaculum umeaense
5053,Chromohalobacter marismortui
5054,Williamsia muralis
5057,Blastomonas natatoria
5058,Chelatococcus asaccharovorans
5059,Azoarcus indigens
5060,Pusillimonas noertemannii
5061,Kushneria indalinina
5062,Vogesella indigofera
5063,Kushneria sinocarnis
5065,Paenibacillus donghaensis
5076,Alicycliphilus denitrificans
5077,Bacteroides helcogenes
5078,Candidatus Liberibacter solanacearum
5079,Pseudodesulfovibrio aespoeensis
5080,Erwinia billingiae
5081,Parageobacillus thermoglucosidasius
5082,Ilyobacter polytropus
5083,Ketogulonicigenium vulgare
5084,Mesorhizobium ciceri
5085,Nitratifractor salsuginis
5088,Rubinisphaera brasiliensis
5090,Syntrophobotulus glycolicus
5091,Xenorhabdus nematophila
5092,Aggregatibacter segnis
5093,Pandoraea iniqua
5094,Pandoraea capi
5095,Pandoraea terrigena
5101,Aliivibrio finisterrensis
5102,Massilia rubra
5103,Sphingopyxis witflariensis
5107,Serratia liquefaciens
5108,Neisseria elongata
5110,Streptomyces niveus
5111,Rhizobium sophoriradicis
5112,Trinickia symbiotica
5114,Noviherbaspirillum denitrificans
5116,Neisseria cinerea
5118,Helicobacter acinonychis
5122,Mycolicibacterium septicum
5123,Mycobacterium marinum
5124,Biomaibacter acetigenes
5126,Macellibacteroides fermentans
5127,Rheinheimera pleomorphica
5128,Vagococcus penaei
5130,Cohnella luojiensis
5131,Dysgonomonas gadei
5139,Lysinibacillus sphaericus
5141,Hymenobacter swuensis
5146,Paenibacillus phytohabitans
5147,Streptococcus phocae
5149,Peptoniphilus indolicus
5150,Albibacillus kandeliae
5152,Roseovarius nitratireducens
5157,Hydrogenophaga pseudoflava
5158,Leucobacter triazinivorans
5160,Komagataeibacter saccharivorans
5161,Kosakonia cowanii
5162,Paratractidigestivibacter faecalis
5163,Veillonella dispar
5164,Massilia oculi
5166,Parabacteroides chinchillae
5167,Acetobacter oryzoeni
5168,Acetobacter pasteurianus
5169,Capnocytophaga sputigena
5171,Solidesulfovibrio carbinolicus
5174,Methylobacterium currus
5177,Brevibacterium aurantiacum
5179,Bartonella kosoyi
5180,Shewanella decolorationis
5183,Lactococcus formosensis
5184,Vreelandella venusta
5190,Blautia argi
5193,Devosia elaeis
5194,Thioclava sediminum
5196,Geobacillus stearothermophilus
5200,Paenibacillus taichungensis
5206,Extibacter muris
5208,Levilactobacillus tongjiangensis
5209,Levilactobacillus angrenensis
5210,Lacticaseibacillus hegangensis
5211,Levilactobacillus lindianensis
5212,Lapidilactobacillus wuchangensis
5213,Lapidilactobacillus achengensis
5214,Levilactobacillus fujinensis
5215,Loigolactobacillus zhaoyuanensis
5216,Loigolactobacillus jiayinensis
5217,Lacticaseibacillus suibinensis
5218,Companilactobacillus zhongbaensis
5221,Acinetobacter terrestris
5225,Vibrio injensis
5230,Xenorhabdus ishibashii
5231,Kurthia zopfii
5232,Kurthia gibsonii
5234,Lelliottia jeotgali
5235,Pusillimonas caeni
5236,Brenneria salicis
5239,Microbispora siamensis
5240,Cohnella abietis
5241,Cellulosilyticum lentocellum
5242,Senegalia massiliensis
5243,Hungatella effluvii
5244,Phyllobacterium endophyticum
5246,Photorhabdus australis
5247,Sinirhodobacter populi
5248,Natronospirillum operosum
5249,Desertimonas flava
5252,Phaseolibacter flectens
5257,Curvibacter gracilis
5258,Paracoccus pantotrophus
5263,Paracoccus versutus
5266,Idiomarina loihiensis
5274,Herbaspirillum huttiense
5278,Marinobacter salarius
5282,Paracoccus aminovorans
5283,Leptolyngbya boryana
5284,Staphylococcus simiae
5285,Corynebacterium imitans
5288,Bacteroides caecimuris
5290,Thalassospira indica
5291,Brevibacillus formosus
5293,Methylovorus glucosotrophus
5295,Longibaculum muris
5298,Harryflintia acetispora
5299,Hydrogenispora ethanolica
5300,Kineothrix alysoides
5304,Buttiauxella gaviniae
5305,Parendozoicomonas haliclonae
5306,Sphaerimonospora mesophila
5308,Aquitalea magnusonii
5309,Acinetobacter albensis
5310,Comamonas kerstersii
5311,Corynebacterium lactis
5312,Glutamicibacter soli
5314,Pseudooceanicola atlanticus
5323,Streptococcus himalayensis
5324,Comamonas testosteroni
5325,Microvirgula aerodenitrificans
5326,Brachybacterium paraconglomeratum
5329,Afifella pfennigii
5331,Desulfitibacter alkalitolerans
5335,Clostridiisalibacter paucivorans
5336,Zymobacter palmae
5338,Sphingomonas aquatilis
5339,Burkholderia paludis
5340,Streptococcus macedonicus
5341,Citrobacter murliniae
5343,Micromonospora purpureochromogenes
5350,Paraburkholderia xenovorans
5351,Chromohalobacter israelensis
5353,Dehalococcoides mccartyi
5354,Geobacillus thermoleovorans
5355,Hahella chejuensis
5358,Basfia succiniciproducens
5359,Mesorhizobium japonicum
5360,Chelativorans multitrophicus
5361,Methylococcus capsulatus
5362,Nitrobacter hamburgensis
5365,Pseudoalteromonas nigrifaciens
5367,Cupriavidus pinatubonensis
5368,Shewanella oneidensis
5371,Syntrophus aciditrophicus
5372,Pedobacter helvus
5374,Actinomyces procaprae
5378,Proteus faecis
5385,Variovorax boronicumulans
5389,Blautia hominis
5390,Pectobacterium polonicum
5391,Achromobacter aegrifaciens
5392,Advenella mimigardefordensis
5393,Liquorilactobacillus ghanensis
5394,Staphylococcus borealis
5395,Chryseobacterium vrystaatense
5398,Candidatus Protochlamydia naegleriophila
5399,Necropsobacter rosorum
5400,Thalassovita mediterranea
5402,Photobacterium alginatilyticum
5403,Shewanella woodyi
5404,Clostridium thermosuccinogenes
5405,Bifidobacterium reuteri
5406,Streptacidiphilus rugosus
5408,Algiphilus aromaticivorans
5410,Streptacidiphilus albus
5411,Endozoicomonas montiporae
5418,Roseomonas rosea
5419,Aureimonas altamirensis
5426,Fenollaria massiliensis
5427,Bordetella trematum
5429,Aliarcobacter lanthieri
5430,Paraburkholderia bannensis
5432,Acinetobacter brisouii
5433,Siccibacter colletis
5438,Chryseobacterium aquifrigidense
5439,Limosilactobacillus frumenti
5440,Vibrio casei
5441,Ndongobacter massiliensis
5442,Nocardioides kongjuensis
5444,Herbiconiux flava
5445,Paraburkholderia metrosideri
5447,Microbacterium immunditiarum
5448,Sphingomonas endophytica
5450,Faecalibacillus faecis
5451,Erythrobacter colymbi
5459,Corynebacterium auriscanis
5465,Bacteroides congonensis
5466,Bacteroides ihuae
5468,Bifidobacterium scaligerum
5469,Bifidobacterium aquikefiri
5470,Bifidobacterium lemurum
5471,Bifidobacterium imperatoris
5472,Bifidobacterium eulemuris
5473,Corynebacterium liangguodongii
5478,Rhizobium chutanense
5479,Rhizobium esperanzae
5482,Enterobacter quasihormaechei
5483,Neisseria animaloris
5484,Neisseria bergeri
5491,Caballeronia novacaledonica
5492,Burkholderia catarinensis
5493,Alysiella crassa
5494,Paucilactobacillus oligofermentans
5496,Klebsiella electrica
5497,Acetobacter musti
5498,Acetobacter fallax
5499,Cryobacterium levicorallinum
5500,Bifidobacterium saguini
5502,Marinobacterium stanieri
5503,Phytobacter massiliensis
5505,Cobetia amphilecti
5507,Mixta tenebrionis
5508,Jeotgalicoccus marinus
5509,Guyparkeria halophila
5510,Cobetia marina
5511,Cohaesibacter celericrescens
5516,Psychrobacillus lasiicapitis
5517,Martelella alba
5518,Aurantimonas aggregata
5520,Kushneria phosphatilytica
5522,Marinitoga lauensis
5523,Planomicrobium okeanokoites
5524,Jeotgalibacillus salarius
5526,Spartinivicinus ruber
5532,Oricola thermophila
5539,Chryseobacterium antibioticum
5544,Aeromonas aquatica
5546,Nocardia elegans
5547,Halomonas halophila
5548,Halomonas urumqiensis
5550,Halomonas elongata
5552,Fusobacterium pseudoperiodonticum
5553,Galactobacter valiniphilus
5554,Galactobacter caseinivorans
5555,Mycolicibacterium aichiense
5556,Trinickia fusca
5557,Paraburkholderia phosphatilytica
5558,Aureibacillus halotolerans
5559,Aminicella lysinilytica
5560,Bacteroides heparinolyticus
5561,Rubrivivax gelatinosus
5562,Scopulibacillus darangshiensis
5564,Labedaea rhizosphaerae
5565,Photorhabdus bodei
5566,Photorhabdus namnaonensis
5567,Paracoccus suum
5570,Alcaligenes aquatilis
5573,Weissella soli
5575,Actinobacillus equuli
5576,Erwinia persicina
5577,Amedibacterium intestinale
5578,Dickeya aquatica
5579,Fuscovulum blasticum
5580,Rhizorhabdus histidinilytica
5582,Flavobacterium anhuiense
5583,Sphingobium limneticum
5585,Achromobacter insolitus
5586,Fusobacterium polymorphum
5587,Chryseobacterium lactis
5592,Aerococcus urinaeequi
5593,Veillonella rogosae
5597,Budvicia aquatica
5598,Rhizobium favelukesii
5600,Rhizobium sullae
5601,Acetobacterium dehalogenans
5603,Streptomyces resistomycificus
5605,Virgibacillus dokdonensis
5608,Paenibacillus helianthi
5616,Micromonospora chokoriensis
5621,Paenibacillus amylolyticus
5622,Streptomyces prunicolor
5623,Streptomyces zaomyceticus
5627,Streptomyces prasinus
5629,Streptomyces violascens
5631,Bifidobacterium merycicum
5632,Segatella baroniae
5633,Paraburkholderia hospita
5634,Clostridium chromiireducens
5635,Ruminiclostridium hungatei
5640,Alteripontixanthobacter maritimus
5641,Rahnella inusitata
5642,Wohlfahrtiimonas chitiniclastica
5643,Butyricimonas paravirosa
5645,Pandoraea sputorum
5646,Chromobacterium phragmitis
5647,Salicibibacter kimchii
5648,Glaesserella australis
5649,Azospirillum baldaniorum
5650,Salinivibrio proteolyticus
5651,Marinomonas primoryensis
5654,Phyllobacterium sophorae
5656,Anaerococcus marasmi
5659,Paraburkholderia caffeinitolerans
5661,Paraburkholderia fynbosensis
5667,Hartmannibacter diazotrophicus
5669,Massilibacillus massiliensis
5671,Anaeromassilibacillus senegalensis
5672,Orrella dioscoreae
5673,Niameybacter massiliensis
5674,Inediibacterium massiliense
5676,Vitreoscilla massiliensis
5677,Pseudodesulfovibrio profundus
5683,Streptomyces flavidovirens
5684,Streptomyces chattanoogensis
5686,Streptomyces chartreusis
5687,Companilactobacillus kimchiensis
5689,Streptomyces griseosporeus
5691,Streptomyces shenzhenensis
5695,Streptomyces rishiriensis
5699,Labedella phragmitis
5700,Streptomyces roseicoloratus
5701,Senegalimassilia faecalis
5702,Micromonospora haikouensis
5705,Streptomyces silaceus
5710,Paenibacillus lactis
5712,Streptomyces sparsogenes
5714,Boudabousia marimammalium
5716,Bifidobacterium rousetti
5718,Bifidobacterium aemilianum
5719,Bifidobacterium xylocopae
5723,Anaerobutyricum soehngenii
5724,Aminobacter ciceronei
5725,Ancylobacter tetraedralis
5726,Erythrobacter ramosus
5727,Xanthomonas euroxanthea
5730,Brevundimonas terrae
5731,Sphingomonas insulae
5732,Nitrospirillum iridis
5733,Sphingomonas japonica
5734,Komagataeibacter kakiaceti
5735,Sphingomonas xinjiangensis
5737,Pacificitalea manganoxidans
5747,Rahnella woolbedingensis
5748,Rahnella variigena
5751,Komagataeibacter sucrofermentans
5752,Komagataeibacter xylinus
5754,Burkholderia seminalis
5755,Marinobacter adhaerens
5756,Burkholderia singularis
5760,Thermus brockianus
5764,Gluconobacter potus
5767,Brevibacillus parabrevis
5768,Brevibacillus panacihumi
5773,Streptomyces himastatinicus
5774,Xanthomonas floridensis
5775,Achromobacter mucicolens
5776,Eikenella halliae
5781,Symmachiella macrocystis
5782,Novipirellula artificiosorum
5783,Aureliella helgolandensis
5784,Maioricimonas rarisocia
5785,Foetidibacter luteolus
5786,Sodaliphilus pleomorphus
5788,Bilifractor porci
5793,Dyadobacter beijingensis
5796,Corynebacterium callunae
5797,Desulfatibacillum aliphaticivorans
5800,Ligilactobacillus ceti
5801,Desulfovibrio cuneatus
5802,Fundidesulfovibrio putealis
5804,Loigolactobacillus bifermentans
5806,Sphingopyxis fribergensis
5807,Blastomonas fulva
5809,Corynebacterium renale
5810,Hoeflea marina
5811,Thioalbus denitrificans
5812,Caldimonas thermodepolymerans
5813,Pseudacidovorax intermedius
5814,Pseudogracilibacillus auburnensis
5815,Eoetvoesiella caeni
5817,Paenibacillus barcinonensis
5818,Xylophilus ampelinus
5819,Paludibacterium purpuratum
5820,Sphingomonas caeni
5821,Otariodibacter oris
5822,Anaerobacterium chartisolvens
5823,Oxobacter pfennigii
5826,Novosphingobium pentaromativorans
5835,Herbaspirillum hiltneri
5840,Streptomyces argenteolus
5841,Haloactinospora alba
5842,Actinoplanes teichomyceticus
5843,Pseudoalteromonas haloplanktis
5844,Gemelliphila asaccharolytica
5846,Nonomuraea candida
5851,Janthinobacterium tructae
5852,Dickeya fangzhongdai
5853,Mediterraneibacter massiliensis
5854,Gordonia sihwensis
5861,Xenorhabdus ehlersii
5862,Nakamurella silvestris
5864,Sphingomonas ursincola
5865,Sphingobium fuliginis
5866,Corynebacterium urealyticum
5867,Streptomyces bikiniensis
5869,Megasphaera stantonii
5870,Dolosigranulum pigrum
5873,Marinomonas polaris
5877,Trichococcus flocculiformis
5878,Salinicoccus roseus
5879,Sporolactobacillus nakayamae
5880,Bauldia litoralis
5882,Dickeya zeae
5885,Propionivibrio dicarboxylicus
5887,Ruminiclostridium sufflavum
5888,Halomonas cupida
5889,Amphritea atlantica
5890,Variovorax gossypii
5892,Acidaminobacter hydrogenoformans
5901,Paenalcaligenes hominis
5903,Methylorubrum rhodinum
5904,Methylorubrum rhodesianum
5905,Aminobacter niigataensis
5906,Rhizorhapis suberifaciens
5907,Novosphingobium hassiacum
5909,Sphingomonas pseudosanguinis
5910,Methylobacterium brachythecii
5911,Aureimonas phyllosphaerae
5912,Sphingobium jiangsuense
5913,Rhizobium skierniewicense
5914,Rhizobium metallidurans
5915,Novosphingobium sediminicola
5916,Martelella radicis
5917,Allorhizobium taibaishanense
5918,Mycoplana azooxidifex
5919,Spirosoma lacussanchae
5920,Sagittula marina
5921,Bacteroides reticulotermitis
5922,Sphingobium scionense
5923,Gellertiella hungarica
5925,Marinifilum breve
5928,Paraliobacillus ryukyuensis
5935,Microbacterium algeriense
5936,Microbacterium karelineae
5938,Paradevosia shaoguanensis
5939,Hydrogenophaga intermedia
5942,Virgibacillus chiguensis
5944,Kosakonia oryzendophytica
5945,Brachybacterium faecium
5946,Aureimonas flava
5947,Myroides odoratus
5949,Alteromonas pelagimontana
5951,Thalassospira marina
5952,Polaribacter filamentus
5954,Anaerobutyricum hallii
5955,Pannonibacter carbonis
5957,Prosthecochloris aestuarii
5958,Haloimpatiens massiliensis
5962,Candidimonas nitroreducens
5964,Rhodoblastus acidophilus
5965,Iodobacter fluviatilis
5966,Parvibium lacunae
5967,Tabrizicola aquatica
5968,Rhodoblastus sphagnicola
5969,Sebaldella termitidis
5971,Pelistega indica
5975,Endozoicomonas ascidiicola
5982,Brenneria nigrifluens
5985,Proteus terrae
5988,Kurthia senegalensis
5989,Psychrobacter glaciei
6003,Streptococcus azizii
6005,Levilactobacillus spicheri
6008,Sphingomonas hengshuiensis
6011,Pimelobacter simplex
6014,Acinetobacter idrijaensis
6017,Peribacillus loiseleuriae
6018,Candidatus Rubidus massiliensis
6020,Sneathia vaginalis
6022,Serratia symbiotica
6023,Staphylococcus carnosus
6025,Bradyrhizobium retamae
6028,Lactobacillus taiwanensis
6029,Haloechinothrix aidingensis
6037,Geomonas limicola
6039,Undibacterium aquatile
6040,Bombella apis
6046,Burkholderia anthina
6053,Butyrivibrio proteoclasticus
6055,Micromonospora nigra
6057,Candidatus Faecalibacterium avium
6058,Leptotrichia massiliensis
6060,Oligoflexus tunisiensis
6064,Cellulosilyticum ruminicola
6066,Albimonas pacifica
6067,Cryobacterium luteum
6068,Acetanaerobacterium elongatum
6069,Streptosporangium canum
6071,Saccharopolyspora kobensis
6072,Georgenia satyanarayanai
6073,Lacicoccus qingdaonensis
6074,Streptomyces yunnanensis
6075,Oleispira antarctica
6077,Thiopseudomonas alkaliphila
6078,Marinobacter similis
6079,Pleomorphomonas diazotrophica
6080,Mucilaginibacter gossypiicola
6081,Cyclobacterium xiamenense
6084,Arachidicoccus rhizosphaerae
6085,Methylobacterium gossipiicola
6086,Methyloligella halotolerans
6089,Terasakiispira papahanaumokuakeensis
6092,Sphingomonas abaci
6095,Peptacetobacter hiranonis
6097,Anoxybacillus flavithermus
6098,Ruminiclostridium cellulolyticum
6099,Gluconacetobacter diazotrophicus
6101,Methylobacterium nodulans
6102,Rhizobium acidisoli
6105,Azotobacter vinelandii
6107,Laribacter hongkongensis
6108,Tolumonas auensis
6109,Gleimia coleocanis
6113,Komagataeibacter diospyri
6114,Anoxybacillus gonensis
6115,Komagataeibacter medellinensis
6117,Macrococcus bovicus
6118,Macrococcus equipercicus
6121,Hymenobacter rigui
6123,Hymenobacter metallilatus
6124,Agromyces badenianii
6126,Streptomyces fulvorobeus
6128,Proteus hauseri
6130,Rhizobium phaseoli
6131,Vibrio natriegens
6137,Vibrio kanaloae
6140,Caballeronia turbans
6141,Pseudovibrio hongkongensis
6144,Mycolicibacter kumamotonensis
6145,Faecalibaculum rodentium
6146,Tenacibaculum finnmarkense
6147,Dickeya oryzae
6149,Dyadobacter frigoris
6150,Dyadobacter bucti
6151,Salinicola socius
6152,Microvirga brassicacearum
6157,Salinicola acroporae
6158,Myxococcus virescens
6159,Avibacterium avium
6161,Tsukamurella conjunctivitidis
6162,Luteibacter jiangsuensis
6163,Apibacter muscae
6164,Halobacillus salinus
6166,Rhodovulum robiginosum
6167,Spirosoma terrae
6169,Oryzomonas japonica
6171,Spirosoma agri
6172,Anaerococcus vaginimassiliensis
6173,Anaerococcus porci
6174,Streptomyces caeruleatus
6175,Streptomyces griseorubiginosus
6176,Streptomyces olivaceoviridis
6177,Streptomyces coeruleorubidus
6178,Aquincola tertiaricarbonis
6179,Cytobacillus solani
6181,Rhizobium ecuadorense
6182,Cupriavidus gilardii
6183,Salinivibrio siamensis
6184,Erwinia typographi
6187,Lactobacillus selangorensis
6188,Demequina gelatinilytica
6189,Lentilactobacillus senioris
6190,Paucilactobacillus vaccinostercus
6194,Belnapia rosea
6202,Gracilibacillus dipsosauri
6203,Streptomyces catenulae
6204,Streptomyces scopuliridis
6206,Streptomyces chrestomyceticus
6207,Streptomyces ardesiacus
6208,Streptomyces sindenensis
6210,Elizabethkingia miricola
6211,Photobacterium ganghwense
6212,Leuconostoc falkenbergense
6213,Leuconostoc inhae
6216,Acinetobacter towneri
6218,Ligilactobacillus animalis
6219,Acinetobacter stercoris
6220,Vibrio bathopelagicus
6221,Vibrio ziniensis
6227,Bradyrhizobium ivorense
6230,Paraburkholderia kururiensis
6231,Paraburkholderia heleia
6232,Sphingomonas paucimobilis
6239,Segatella maculosa
6241,Psychrobacter lutiphocae
6242,Vitreoscilla stercoraria
6243,Thioalkalivibrio versutus
6244,Salinicoccus carnicancri
6245,Alteromonas abrolhosensis
6246,Alteromonas mediterranea
6247,Liberibacter crescens
6248,Actinobacillus suis
6249,Myxococcus stipitatus
6250,Streptococcus pseudoporcinus
6251,Tolumonas lignilytica
6254,Paraburkholderia bonniea
6258,Trichococcus collinsii
6260,Kushneria phyllosphaerae
6263,Mariniradius saccharolyticus
6268,Bacillus nakamurai
6269,Acinetobacter pragensis
6270,Streptomyces hygroscopicus
6271,Herbidospora mongoliensis
6272,Herbidospora daliensis
6273,Herbidospora cretacea
6274,Microtetraspora niveoalba
6275,Mycolicibacterium brisbanense
6276,Shewanella denitrificans
6277,Desulfotruncus alcoholivorax
6278,Schinkia azotoformans
6283,Leucobacter chironomi
6284,Chitinilyticum aquatile
6286,Massilia atriviolacea
6289,Achromobacter agilis
6298,Chromobacterium sphagni
6301,Sphingobacterium cellulitidis
6305,Veillonella infantium
6306,Zhongshania marina
6307,Pokkaliibacter plantistimulans
6309,Salinicola aestuarinus
6310,Salinicola peritrichatus
6312,Brenneria roseae
6313,Corticimicrobacter populi
6314,Pectobacterium zantedeschiae
6315,Metarhizobium album
6317,Pectobacterium aquaticum
6319,Flavobacterium cupreum
6320,Pseudooceanicola sediminis
6321,Mesorhizobium waimense
6326,Rahnella bruchi
6327,Pelagerythrobacter aerophilus
6329,Kosakonia pseudosacchari
6330,Pseudohoeflea suaedae
6331,Arsenicitalea aurantiaca
6332,Evtepia gabavorous
6333,Duncaniella muris
6334,Naasia lichenicola
6335,Jiella endophytica
6336,Sinirhodobacter ferrireducens
6340,Rhodocyclus tenuis
6341,Rhodobium orientis
6343,Rhizobium mongolense
6347,Cognaticolwellia mytili
6348,Candidatus Liberibacter asiaticus
6350,Psychrilyobacter atlanticus
6351,Silanimonas lenta
6352,Maledivibacter halophilus
6353,Epilithonimonas caeni
6354,Perlucidibaca piscinae
6356,Veillonella montpellierensis
6357,Halomonas halocynthiae
6358,Pseudoalteromonas translucida
6360,Jiangella muralis
6361,Glutamicibacter halophytocola
6362,Shewanella xiamenensis
6363,Shewanella maritima
6364,Shewanella algae
6366,Paraburkholderia rhynchosiae
6367,Paraburkholderia phytofirmans
6368,Paraburkholderia madseniana
6369,Paraburkholderia panacisoli
6371,Billgrantia montanilacus
6373,Companilactobacillus futsaii
6376,Providencia huaxiensis
6377,Psychrobacter celer
6378,Sphingobacterium alkalisoli
6379,Comamonas suwonensis
6384,Brevundimonas intermedia
6385,Brevundimonas vesicularis
6386,Brevundimonas naejangsanensis
6387,Weissella muntiaci
6390,Rhizobium lentis
6393,Thioclava marina
6394,Thioclava nitratireducens
6395,Swingsia samuiensis
6397,Adhaeribacter arboris
6398,Notoacmeibacter ruber
6399,Oecophyllibacter saccharovorans
6400,Anaerotignum faecicola
6401,Sphingobacterium multivorum
6402,Alteromonas australica
6404,Paracoccus solventivorans
6405,Loktanella atrilutea
6406,Ruegeria intermedia
6408,Companilactobacillus pabuli
6411,Corynebacterium deserti
6412,Sphingopyxis macrogoltabida
6413,Streptococcus halotolerans
6414,Nesterenkonia sandarakina
6415,Geobacillus zalihae
6416,Piscibacillus salipiscarius
6418,Paenibacillus crassostreae
6419,Acinetobacter terrae
6421,Marinomonas atlantica
6424,Phocaeicola massiliensis
6425,Thaumasiovibrio subtropicus
6426,Floricoccus tropicus
6427,Floricoccus penangensis
6428,Phytobacter ursingii
6432,Peptoniphilus asaccharolyticus
6433,Selenomonas sputigena
6435,Proteus cibi
6438,Faecalitalea cylindroides
6442,Salinicoccus halodurans
6449,Acetobacterium wieringae
6451,Clostridium cagae
6453,Corynebacterium oculi
6454,Streptococcus varani
6459,Kallipyga gabonensis
6461,Shewanella carassii
6462,Pseudaminobacter soli
6464,Vreelandella nigrificans
6465,Paraburkholderia piptadeniae
6468,Mixta calida
6469,Mixta theicola
6471,Pantoea conspicua
6472,Pantoea latae
6476,Bradyrhizobium paxllaeri
6477,Orrella marina
6482,Herbaspirillum robiniae
6491,Sphingomonas yabuuchiae
6500,Neisseria zoodegmatis
6501,Burkholderia metallica
6504,Enterococcus wangshanyuanii
6505,Streptomyces yangpuensis
6506,Streptomyces xylophagus
6507,Rosenbergiella nectarea
6512,Mariprofundus ferrooxydans
6514,Lacrimispora celerecrescens
6515,Bosea thiooxidans
6516,Chitinophaga sancti
6518,Paracoccus tibetensis
6519,Corynebacterium afermentans
6525,Anaerococcus pacaensis
6526,Mannheimia granulomatis
6528,Cupriavidus alkaliphilus
6529,Pseudoclavibacter helvolus
6531,Nocardioides soli
6532,Alteriqipengyuania lutimaris
6534,Actinoplanes campanulatus
6535,Azomonas macrocytogenes
6536,Bradyrhizobium betae
6537,Phyllobacterium trifolii
6538,Halomonas stenophila
6539,Aporhodopirellula rubra
6541,Microbacterium proteolyticum
6542,Alkalibacillus almallahensis
6547,Enorma massiliensis
6549,Lacticaseibacillus sharpeae
6552,Asaia bogorensis
6554,Tepidicaulis marinus
6556,Methylorubrum salsuginis
6559,Maritalea mobilis
6563,Azospirillum thiophilum
6564,Ureibacillus sinduriensis
6565,Streptococcus porcinus
6566,Salimicrobium album
6573,Sphingopyxis terrae
6574,Enterococcus moraviensis
6577,Enterococcus caccae
6585,Salipiger bermudensis
6588,Aeromonas lacus
6592,Segatella hominis
6595,Prevotella brunnea
6600,Allofustis seminis
6601,Roseovarius mucosus
6602,Brachymonas chironomi
6605,Paludifilum halophilum
6606,Neisseria perflava
6614,Komagataeibacter oboediens
6615,Acidovorax radicis
6616,Novosphingobium rosa
6617,Cutibacterium porci
6620,Vreelandella hamiltonii
6622,Trinickia dinghuensis
6624,Vreelandella piezotolerans
6626,Pseudoalteromonas neustonica
6627,Pseudoalteromonas viridis
6628,Flavobacterium hibernum
6629,Rheinheimera tangshanensis
6631,Peribacillus frigoritolerans
6634,Jeotgalicoccus aerolatus
6635,Nitratireductor indicus
6637,Halomonas smyrnensis
6640,Marispirochaeta aestuarii
6642,Algoriphagus formosus
6643,Lacticaseibacillus chiayiensis
6644,Siphonobacter curvatus
6654,Siminovitchia terrae
6656,Lacticaseibacillus songhuajiangensis
6657,Absicoccus porci
6658,Stagnimonas aquatica
6660,Rhizobium laguerreae
6663,Methyloversatilis discipulorum
6665,Rudanella lutea
6666,Deferrisoma camini
6669,Methylobacter whittenburyi
6670,Thauera phenylacetica
6672,Facklamia hominis
6674,Sphingopyxis indica
6676,Sphingopyxis flava
6677,Novosphingobium mathurense
6683,Plantibacter flavus
6684,Paraburkholderia susongensis
6688,Streptomyces viridosporus
6694,Thermosinus carboxydivorans
6695,Andreprevotia lacus
6696,Hydrogenovibrio thermophilus
6702,Marinospirillum celere
6705,Candidatus Endoriftia persephone
6706,Bifidobacterium actinocoloniiforme
6707,Amycolatopsis lurida
6708,Streptomyces tirandamycinicus
6711,Achromobacter dolens
6713,Neomicrococcus aestuarii
6714,Geminisphaera colitermitum
6720,Actinomyces qiguomingii
6723,Alteromonas confluentis
6724,Achromobacter kerstersii
6725,Achromobacter pestifer
6727,Acinetobacter variabilis
6730,Rahnella victoriana
6731,Aminobacter aminovorans
6732,Paucimonas lemoignei
6733,Varunaivibrio sulfuroxidans
6734,Muricomes intestini
6735,Pseudodesulfovibrio indicus
6736,Melghiribacillus thermohalophilus
6738,Stenotrophomonas chelatiphaga
6744,Vibrio furnissii
6745,Weeksella virosa
6746,Mycetohabitans rhizoxinica
6747,Corynebacterium resistens
6748,Desulforamulus ruminis
6749,Leuconostoc kimchii
6750,Corallococcus macrosporus
6753,Tepidanaerobacter acetatoxydans
6754,Asticcacaulis biprosthecium
6758,Companilactobacillus farciminis
6761,Leuconostoc gelidum
6762,Arenimonas fontis
6767,Asticcacaulis tiandongensis
6775,Methylomagnum ishizawai
6777,Streptococcus respiraculi
6778,Thermus aquaticus
6780,Staphylococcus pseudoxylosus
6781,Streptococcus iniae
6783,Vreelandella jeotgali
6784,Glaciibacter superstes
6786,Desulfovibrio desulfuricans
